School Name,State Name [Public School] Latest available year,School Name [Public School] 2024-25,Location Address 1 [Public School] 2024-25,Location City [Public School] 2024-25,Location State Abbr [Public School] 2024-25,Location ZIP [Public School] 2024-25,School Type [Public School] 2024-25,School Level (SY 2017-18 onward) [Public School] 2024-25,Lowest Grade Offered [Public School] 2024-25,Highest Grade Offered [Public School] 2024-25,"Total Students, All Grades",Latitude,Longitude
CLIFF HIGH,New Mexico,CLIFF HIGH,622 STATE HWY 211,CLIFF,NM ,88028,1-Regular school,High,7th Grade,12th Grade,95,32.9663164,-108.6086447
COBRE HIGH,New Mexico,COBRE HIGH,1300 TOM FOY BLVD,BAYARD,NM ,88023,1-Regular school,High,9th Grade,12th Grade,257,32.7570693,-108.1432997
COLUMBUS ELEMENTARY,New Mexico,COLUMBUS ELEMENTARY,7450 ALTURA RD. SE,COLUMBUS,NM ,88029,1-Regular school,Elementary,Prekindergarten,5th Grade,483,31.8441007,-107.6649791
DEMING CESAR CHAVEZ,New Mexico,DEMING CESAR CHAVEZ,315 EAST 1ST ST,DEMING,NM ,88030,1-Regular school,High,9th Grade,12th Grade,177,32.2627416,-107.7581979
DEMING HIGH,New Mexico,DEMING HIGH,1300 S. IRON ST.,DEMING,NM ,88030,1-Regular school,High,9th Grade,12th Grade,1174,32.2553809,-107.7621591
DEMING INTERMEDIATE,New Mexico,DEMING INTERMEDIATE,1750 PEAR ST. SW,DEMING,NM ,88030,1-Regular school,Middle,6th Grade,6th Grade,373,32.2457875,-107.7821771
DUGAN-TARANGO MIDDLE,New Mexico,DUGAN-TARANGO MIDDLE,1352 HARDIN ST,LORDSBURG,NM ,88045,1-Regular school,Middle,5th Grade,8th Grade,124,32.3362722,-108.7083002
EARLY COLLEGE HIGH SCHOOL,NEW MEXICO,EARLY COLLEGE HIGH SCHOOL,720 W BUCKEYE ST,DEMING,NM ,88030,1-Regular school,High,9th Grade,12th Grade,180,32.2627416,-107.7581979
EL RITO ELEMENTARY,New Mexico,EL RITO ELEMENTARY,10 ELEMENTARY RD,EL RITO,NM ,87530,1-Regular school,Elementary,Prekindergarten,3rd Grade,63,36.3309056,-106.1872868
G.W.STOUT ELEMENTARY,New Mexico,G.W.STOUT ELEMENTARY,2601 NORTH SILVER ST,SILVER CITY,NM ,88061,1-Regular school,Elementary,1st Grade,6th Grade,334,32.7711825,-108.2764164
GARFIELD ELEMENTARY,New Mexico,GARFIELD ELEMENTARY,8820 HWY 187,GARFIELD,NM ,87936,1-Regular school,Elementary,Prekindergarten,2nd Grade,96,32.755288,-107.26425
HARRISON SCHMITT ELEMENTARY,New Mexico,HARRISON SCHMITT ELEMENTARY,4042 HWY 90 SW,SILVER CITY,NM ,88061,1-Regular school,Elementary,1st Grade,6th Grade,337,32.7501526,-108.2823384
HATCH VALLEY ELEMENTARY,New Mexico,HATCH VALLEY ELEMENTARY,801 EAST HERRERA,HATCH,NM ,87937,1-Regular school,Elementary,Prekindergarten,2nd Grade,190,32.6706114,-107.1436782
HATCH VALLEY HIGH,New Mexico,HATCH VALLEY HIGH,170 EAST HERRERA,HATCH,NM ,87937,1-Regular school,High,9th Grade,12th Grade,367,32.6706064,-107.1491488
HATCH VALLEY MIDDLE,New Mexico,HATCH VALLEY MIDDLE,901 EAST HERRERA,HATCH,NM ,87937,1-Regular school,Middle,6th Grade,8th Grade,253,32.6651718,-107.153438
HOT SPRINGS HIGH,New Mexico,HOT SPRINGS HIGH,1200 NORTH PERSHING AVE,T OR C,NM ,87901,1-Regular school,High,9th Grade,12th Grade,347,33.1471513,-107.2509837
HURLEY ELEMENTARY,New Mexico,HURLEY ELEMENTARY,300 CARASCO AVE,HURLEY,NM ,88043,1-Regular school,Elementary,Prekindergarten,5th Grade,114,32.6965522,-108.1307922
JOSE BARRIOS ELEMENTARY,New Mexico,JOSE BARRIOS ELEMENTARY,1625 LITTLE WALNUT,SILVER CITY,NM ,88061,1-Regular school,Elementary,1st Grade,6th Grade,199,32.7822132,-108.2791605
LA PLATA MIDDLE,New Mexico,LA PLATA MIDDLE,3500 NORTH SILVER ST,SILVER CITY,NM ,88061,1-Regular school,Middle,7th Grade,8th Grade,259,32.7984566,-108.2659782
LORDSBURG HIGH,New Mexico,LORDSBURG HIGH,501 WEST FOURTH ST,LORDSBURG,NM ,88045,1-Regular school,High,9th Grade,12th Grade,121,32.349859,-108.7148819
MEMORIAL ELEMENTARY,New Mexico,MEMORIAL ELEMENTARY,1000 SOUTH 10TH ST,DEMING,NM ,88030,1-Regular school,Elementary,Prekindergarten,5th Grade,331,32.2571353,-107.7717544
MESA VISTA HIGH,New Mexico,MESA VISTA HIGH,HWY 285 JUNCTION 111,OJO CALIENTE,NM ,87549,1-Regular school,High,9th Grade,12th Grade,93,36.3021392,-106.0490305
MESA VISTA MIDDLE,New Mexico,MESA VISTA MIDDLE,HWY 285 JUNCTION 111,OJO CALIENTE,NM ,87549,1-Regular school,Middle,7th Grade,8th Grade,51,36.3040449,-106.046624
MIMBRES VALLEY HIGH SCHOOL,NEW MEXICO,MIMBRES VALLEY HIGH SCHOOL,1400 SOUTH IRON ST,DEMING,NM ,88030,1-Regular school,High,9th Grade,12th Grade,66,32.2627416,-107.7581979
MY LITTLE SCHOOL,New Mexico,MY LITTLE SCHOOL,905 SOUTH ZINC,DEMING,NM ,88030,2-Special education school,Prekindergarten,Prekindergarten,Prekindergarten,58,32.2627416,-107.7581979
OJO CALIENTE ELEMENTARY,New Mexico,OJO CALIENTE ELEMENTARY,HWY 285 JUNCTION 111,OJO CALIENTE,NM ,87549,1-Regular school,Middle,4th Grade,6th Grade,55,36.3040449,-106.046624
R.V.TRAYLOR ELEMENTARY,New Mexico,R.V.TRAYLOR ELEMENTARY,500 OWNBY,LORDSBURG,NM ,88045,1-Regular school,Elementary,Prekindergarten,4th Grade,158,32.3504143,-108.708434
RED MOUNTAIN MIDDLE,New Mexico,RED MOUNTAIN MIDDLE,2100 HWY 418 SW,DEMING,NM ,88030,1-Regular school,Middle,7th Grade,8th Grade,746,32.2496972,-107.7871091
RIO GRANDE ELEMENTARY,New Mexico,RIO GRANDE ELEMENTARY,940 EAST HERRERA,HATCH,NM ,87937,1-Regular school,Elementary,3rd Grade,5th Grade,240,32.6651718,-107.153438
RUBEN S. TORRES ELEMENTARY,New Mexico,RUBEN S. TORRES ELEMENTARY,1910 8TH ST NW,DEMING,NM ,88030,1-Regular school,Elementary,Prekindergarten,5th Grade,363,32.2813957,-107.7702194
SAN LORENZO ELEMENTARY,New Mexico,SAN LORENZO ELEMENTARY,5 GALAZ ST,SAN LORENZO,NM ,88041,1-Regular school,Elementary,Prekindergarten,5th Grade,78,36.0486324,-106.285305
SIERRA ELEMENTARY,New Mexico,SIERRA ELEMENTARY,1500 NORTH SILVER,T OR C,NM ,87901,1-Regular school,Elementary,4th Grade,5th Grade,184,33.1283485,-107.2529059
SILVER HIGH,New Mexico,SILVER HIGH,3200 NORTH SILVER ST,SILVER CITY,NM ,88061,1-Regular school,High,9th Grade,12th Grade,618,32.7970466,-108.265425
SILVER SCHOLARS ACADEMY,NEW MEXICO,SILVER SCHOLARS ACADEMY,600 E 32ND STREET,SILVER CITY,NM ,88061,1-Regular school,Prekindergarten,Prekindergarten,Prekindergarten,43,32.7711825,-108.2764164
SIXTH STREET ELEMENTARY,New Mexico,SIXTH STREET ELEMENTARY,405 WEST 6TH,SILVER CITY,NM ,88061,1-Regular school,Elementary,Kindergarten,Kindergarten,123,32.7723495,-108.2787656
SNELL MIDDLE,New Mexico,SNELL MIDDLE,501 TOM FOY BLVD,BAYARD,NM ,88023,1-Regular school,Middle,6th Grade,8th Grade,201,32.7617982,-108.130584
T OR C ELEMENTARY,New Mexico,T OR C ELEMENTARY,1500 NORTH SILVER,T OR C,NM ,87901,1-Regular school,Elementary,Prekindergarten,3rd Grade,367,33.1283485,-107.2529059
T OR C MIDDLE,New Mexico,T OR C MIDDLE,1802 PERSHING ST,T OR C,NM ,87901,1-Regular school,Middle,6th Grade,8th Grade,255,33.1283485,-107.2529059
